recurso;horas;horas_criterio;pct_criterio;costo_total;precio_piso;precio_lista
Guía de aprendizaje en HTML;5.7;4.4;0.772;485650;647533;1068430
Guía de repaso y síntesis de parcial;3.5;2.7;0.771;301400;401867;663080
Video interactivo H5P;5.0;2.5;0.500;339900;453200;747780
Producción de video original (complemento);4.0;1.0;0.250;239250;319000;526350
Actividad H5P de refuerzo;2.6;1.6;0.615;197450;263267;434390
Tarjetas de repaso (H5P Course Presentation);2.0;0.8;0.400;127050;169400;279510
Quiz evaluativo Moodle (GIFT);4.0;3.0;0.750;321750;429000;707850
Examen parcial con banco ampliado;5.0;3.3;0.660;417450;556600;918390
Taller práctico de alta demanda con rúbrica;3.8;2.8;0.737;316250;421667;695750
Workshop con coevaluación (proyecto integrador);4.0;2.0;0.500;302500;403333;665500
Foro guiado;1.2;0.8;0.667;93500;124667;205700
Paquete SCORM diagnóstico;5.5;3.7;0.673;396000;528000;871200
Encuesta de cierre;1.0;0.6;0.600;73700;98267;162140
Identidad visual y banner del curso;1.5;0.3;0.200;80850;107800;177870
Diseño curricular y arquitectura del curso;10.0;9.0;0.900;951500;1268667;2093300
Curaduría de recursos existentes;4.0;2.8;0.700;334950;446600;736890
Arquitectura y configuración del curso en Moodle;5.0;1.8;0.360;297000;396000;653400
Auditoría de calidad final (5 niveles);6.0;5.0;0.833;407000;542667;895400
Sesión de capacitación docente (2 horas);3.5;3.0;0.857;327250;436333;719950
Soporte técnico-pedagógico (mes);2.5;1.0;0.400;173250;231000;381150
Reporte analítico de desempeño del curso;4.5;3.0;0.667;368500;491333;810700
